year,Cato Institute,Fraser Institute,FreedomHouse.org,Heritage Foundation,Reporters without Borders,Transparency Intertiol,World Justice Report
2000,6,,,,,,
2001,15,,,,,,
2002,9,,,,17,,
2003,9,,,,31,,
2004,8,,,,22,,
2005,10,,,,44,,
2006,10,,,,55,,
2007,10,,,,48,,
2008,8,7,,,36,,
2009,12,12,,,20,,
2010,11,12,,,20,22,
2011,10,12,,,47,24,
2012,11,13,,,47,19,
2013,9,13,32,10,32,19,18
2014,9,9,34,12,46,17,19
2015,10,9,36,12,49,16,19
2016,10,10,43,11,41,18,18
2017,14,12,45,17,43,16,19
2018,14,15,51,18,45,22,19
2019,16,15,52,12,48,23,20
2020,23,,52,17,45,25,21
2021,,,58,20,44,27,27
2022,,,59,25,42,24,25
2023,,,59,25,45,,